protocolo;numero_licitacao;modalidade;cd_ugestora;valor_licitado;ano_homologacao;cpf_cnpj_proponente;valor_proposta;situacao_proposta
Doc. 00338/20;00005/2019;Tomada de Precos;201143;6.895.300,00;2020;84386540001-03;27.628.836,00;Vencedora
Doc. 00344/19;00001/2019;Pregao Presencial;201089;61.260.000,00;2019;409796840001-30;4.095.000,00;Vencedora
Doc. 00345/19;00002/2019;Pregao Presencial;201089;61.260.000,00;2019;73346200001-06;2.650.000,00;Vencedora
Doc. 00346/19;00003/2019;Pregao Presencial;201089;103.395.610,00;2019;46547160001-63;1.702.700,00;Perdedora
Doc. 00346/19;00003/2019;Pregao Presencial;201089;103.395.610,00;2019;192425240001-17;1.678.600,00;Perdedora
Doc. 00346/19;00003/2019;Pregao Presencial;201089;103.395.610,00;2019;198355420001-02;70.000,00;Vencedora
Doc. 00346/19;00003/2019;Pregao Presencial;201089;103.395.610,00;2019;211878750001-14;1.281.800,00;Perdedora
Doc. 00346/19;00003/2019;Pregao Presencial;201089;1.500.000,00;2019;222653710001-38;1.554.700,00;Perdedora
Doc. 00346/19;00003/2019;Pregao Presencial;201089;1.300.000,00;2019;225263940001-59;672.600,00;Vencedora
Doc. 00351/19;00004/2019;Pregao Presencial;201101;4.800.000,00;2019;19034970001-10;19.000.000,00;Vencedora
Doc. 00353/19;00016/2018;Pregao Presencial;201160;28.591.549,00;2019;90444550001-83;56.759.300,00;Vencedora
Doc. 00354/19;00001/2019;Pregao Presencial;201179;7.701.200,00;2019;55602880001-72;1.800.000,00;Vencedora
Doc. 00358/19;00005/2019;Pregao Presencial;201179;3.000.000,00;2019;172513000001-46;2.200.000,00;Vencedora
Doc. 00364/19;00002/2019;Pregao Presencial;201032;42.123.410,00;2019;95550810001-60;7.032.970,00;Vencedora
Doc. 00364/19;00002/2019;Pregao Presencial;201032;42.123.410,00;2019;171580860001-88;9.939.868,00;Vencedora
Doc. 00364/19;00002/2019;Pregao Presencial;201032;42.123.410,00;2019;172277960001-12;28.722.552,00;Vencedora
Doc. 00365/19;00003/2019;Pregao Presencial;201032;42.123.410,00;2019;95550810001-60;7.319.910,00;Vencedora
Doc. 00365/19;00003/2019;Pregao Presencial;201032;42.123.410,00;2019;171580860001-88;9.101.484,00;Vencedora
Doc. 00367/19;00014/2018;Pregao Presencial;201143;42.123.410,00;2019;129685400001-42;57.467.000,00;Perdedora
Doc. 00367/19;00014/2018;Pregao Presencial;201143;42.123.410,00;2019;291597520001-81;39.025.000,00;Vencedora
Doc. 00368/19;00018/2018;Pregao Presencial;601143;750.000,00;2019;129685400001-42;23.054.000,00;Perdedora
Doc. 00368/19;00018/2018;Pregao Presencial;601143;20.330.000,00;2019;291597520001-81;22.055.000,00;Vencedora
Doc. 00373/19;00001/2019;Pregao Presencial;201098;1.280.000,00;2019;607469480001-12;8.001.000,00;Vencedora
Doc. 00374/19;00002/2019;Pregao Presencial;201098;18.000.000,00;2019;700975300011-57;13.992.000,00;Vencedora
Doc. 00376/19;00001/2019;Pregao Presencial;201030;1.048.440,00;2019;38170430001-52;30.923.740,00;Vencedora
Doc. 00376/19;00001/2019;Pregao Presencial;201030;1.000.000,00;2019;108317010001-26;43.357.150,00;Vencedora
Doc. 00376/19;00001/2019;Pregao Presencial;201030;1.048.440,00;2019;202268460001-51;44.588.350,00;Vencedora
Doc. 00376/19;00001/2019;Pregao Presencial;201030;2.522.922,00;2019;261569230001-20;14.334.160,00;Vencedora
Doc. 00376/19;00001/2019;Pregao Presencial;201030;3.000.000,00;2019;407871520001-09;24.361.800,00;Vencedora
Doc. 00376/19;00001/2019;Pregao Presencial;201030;1.350.000,00;2019;634788950001-94;23.709.040,00;Perdedora
Doc. 00377/19;00002/2019;Pregao Presencial;201030;1.560.000,00;2019;9585480002-20;10.000.000,00;Vencedora
Doc. 00377/19;00002/2019;Pregao Presencial;201030;1.048.440,00;2019;108317010001-26;10.000.000,00;Vencedora
Doc. 00384/20;00012/2019;Tomada de Precos;201099;6.895.300,00;2020;150029820001-28;9.151.698,00;Vencedora
Doc. 00388/20;00014/2019;Tomada de Precos;201099;6.895.300,00;2020;178097820001-07;34.088.829,00;Vencedora
Doc. 00391/20;00013/2019;Tomada de Precos;201099;7.163.691,00;2020;178097820001-07;37.142.360,00;Vencedora
Doc. 00400/20;00002/2020;Pregao Presencial;201032;7.163.691,00;2020;95550810001-60;8.588.085,00;Vencedora
Doc. 00400/20;00002/2020;Pregao Presencial;201032;7.163.691,00;2020;132753360001-09;19.990.236,00;Vencedora
Doc. 00400/20;00002/2020;Pregao Presencial;201032;7.163.691,00;2020;171580860001-88;8.036.583,00;Vencedora
Doc. 00400/20;00002/2020;Pregao Presencial;201032;7.163.691,00;2020;172277960001-12;21.500.870,00;Vencedora
Doc. 00401/20;00003/2020;Pregao Presencial;201032;44.896.000,00;2020;95550810001-60;6.429.625,00;Vencedora
Doc. 00401/20;00003/2020;Pregao Presencial;201032;44.896.000,00;2020;132753360001-09;6.348.970,00;Vencedora
Doc. 00401/20;00003/2020;Pregao Presencial;201032;4.400.000,00;2020;171580860001-88;8.131.155,00;Vencedora
Doc. 00412/20;00002/2020;Pregao Presencial;201056;3.299.679,00;2020;46125550001-45;25.000.000,00;Vencedora
Doc. 00428/20;00002/2020;Pregao Presencial;201201;13.461.291,00;2020;23664160001-53;22.493.000,00;Vencedora
Doc. 00456/20;00005/2020;Pregao Presencial;201150;13.353.278,00;2020;118956530001-00;10.571.500,00;Vencedora
Doc. 00456/20;00005/2020;Pregao Presencial;201150;13.353.278,00;2020;130948980001-56;11.887.500,00;Vencedora
Doc. 00457/20;00023/2019;Pregao Presencial;201149;13.353.278,00;2020;137197180001-84;21.408.000,00;Vencedora
Doc. 00457/20;00023/2019;Pregao Presencial;201149;13.353.278,00;2020;175733830001-90;9.524.400,00;Vencedora
Doc. 00457/20;00023/2019;Pregao Presencial;201149;13.353.278,00;2020;245676490001-57;8.280.000,00;Vencedora
Doc. 00474/20;00001/2020;Pregao Presencial;602026;13.353.278,00;2020;126361000001-98;10.625.000,00;Perdedora
Doc. 00474/20;00001/2020;Pregao Presencial;602026;13.353.278,00;2020;140443610001-44;6.540.000,00;Perdedora
Doc. 00474/20;00001/2020;Pregao Presencial;602026;13.353.278,00;2020;288842190001-10;16.324.300,00;Vencedora
Doc. 00475/20;00001/2020;Pregao Presencial;601026;13.353.278,00;2020;126361000001-98;10.625.000,00;Perdedora
Doc. 00475/20;00001/2020;Pregao Presencial;601026;13.353.278,00;2020;140443610001-44;6.540.000,00;Perdedora
Doc. 00475/20;00001/2020;Pregao Presencial;601026;13.353.278,00;2020;288842190001-10;16.324.300,00;Vencedora
Doc. 00476/20;00001/2020;Pregao Presencial;201026;13.353.278,00;2020;126361000001-98;10.625.000,00;Perdedora
Doc. 00476/20;00001/2020;Pregao Presencial;201026;13.353.278,00;2020;140443610001-44;6.540.000,00;Perdedora
Doc. 00476/20;00001/2020;Pregao Presencial;201026;13.353.278,00;2020;288842190001-10;16.324.300,00;Vencedora
Doc. 00505/19;00002/2019;Pregao Presencial;201082;1.560.000,00;2019;30925700001-47;27.100.000,00;Vencedora
Doc. 00513/20;00001/2020;Pregao Presencial;201060;13.353.278,00;2020;227328710001-32;9.120.000,00;Vencedora
Doc. 00534/19;00099/2018;Pregao Presencial;201211;1.270.345.294,00;2019;87421380001-78;11.200.000,00;Perdedora
Doc. 00534/19;00099/2018;Pregao Presencial;201211;1.270.345.294,00;2019;226468290001-07;11.200.000,00;Perdedora
Doc. 00534/19;00099/2018;Pregao Presencial;201211;1.560.000,00;2019;246371080001-58;8.000.000,00;Perdedora
Doc. 00534/19;00099/2018;Pregao Presencial;201211;1.270.345.294,00;2019;306446170001-00;11.760.000,00;Vencedora
Doc. 00535/20;00001/2020;Tomada de Precos;201013;13.353.278,00;2020;298420860001-81;27.672.576,00;Vencedora
Doc. 00537/19;10001/2019;Pregao Presencial;601097;1.270.345.294,00;2019;147712020001-41;17.665.824,00;Vencedora
Doc. 00540/19;10002/2019;Pregao Presencial;601097;1.270.345.294,00;2019;234471490001-19;22.500.000,00;Perdedora
Doc. 00540/19;10002/2019;Pregao Presencial;601097;1.270.345.294,00;2019;700975300006-90;22.000.000,00;Vencedora
Doc. 00542/19;00001/2019;Pregao Presencial;201097;1.270.345.294,00;2019;78652420001-97;59.157.000,00;Vencedora
Doc. 00556/19;00001/2019;Pregao Presencial;601112;1.270.345.294,00;2019;313186440001-56;9.000.000,00;Vencedora
Doc. 00558/20;00001/2020;Tomada de Precos;201197;13.353.278,00;2020;91330420001-75;7.993.254,00;Vencedora
Doc. 00583/20;00001/2020;Pregao Presencial;201197;16.305.200,00;2020;85966090001-87;31.604.000,00;Vencedora
Doc. 00583/20;00001/2020;Pregao Presencial;201197;16.305.200,00;2020;117538650001-45;15.605.000,00;Vencedora
Doc. 00583/20;00001/2020;Pregao Presencial;201197;16.305.200,00;2020;195942190001-94;51.588.000,00;Perdedora
Doc. 00593/20;00004/2020;Pregao Presencial;201192;14.232.000,00;2020;286767120001-44;7.630.000,00;Vencedora
Doc. 00598/20;00002/2020;Pregao Presencial;201132;22.800.000,00;2020;104322120001-00;3.080.000,00;Vencedora
Doc. 00598/20;00002/2020;Pregao Presencial;201132;22.800.000,00;2020;310871810001-69;5.010.000,00;Vencedora
Doc. 00610/20;00001/2020;Pregao Presencial;601132;3.000.000,00;2020;104322120001-00;519.880,00;Vencedora
Doc. 00610/20;00001/2020;Pregao Presencial;601132;23.280.000,00;2020;310871810001-69;2.317.973,00;Vencedora
Doc. 00612/19;00020/2018;Pregao Presencial;601044;1.270.345.294,00;2019;172673330001-84;16.920.000,00;Vencedora
Doc. 00614/20;00001/2020;Pregao Presencial;201082;22.800.000,00;2020;221440120001-22;5.352.000,00;Vencedora
Doc. 00618/19;00001/2019;Pregao Presencial;201014;7.383.800,00;2019;50153560001-12;17.009.120,00;Vencedora
Doc. 00618/19;00001/2019;Pregao Presencial;201014;1.440.000,00;2019;56139390001-45;46.992.950,00;Vencedora
Doc. 00618/19;00001/2019;Pregao Presencial;201014;6.015.800,00;2019;118201460001-08;21.526.000,00;Vencedora
Doc. 00618/19;00001/2019;Pregao Presencial;201014;58.995.640,00;2019;143791640001-86;23.583.000,00;Perdedora
Doc. 00618/19;00001/2019;Pregao Presencial;201014;6.015.800,00;2019;164175770001-33;40.464.420,00;Vencedora
Doc. 00618/19;00001/2019;Pregao Presencial;201014;58.995.640,00;2019;194649480001-26;46.850.050,00;Perdedora
Doc. 00618/19;00001/2019;Pregao Presencial;201014;7.383.800,00;2019;195942190001-94;8.767.500,00;Perdedora
Doc. 00618/19;00001/2019;Pregao Presencial;201014;4.505.000,00;2019;198947680001-84;18.607.900,00;Perdedora
Doc. 00618/19;00001/2019;Pregao Presencial;201014;7.383.800,00;2019;211878750001-14;30.313.670,00;Perdedora
Doc. 00618/19;00001/2019;Pregao Presencial;201014;58.995.640,00;2019;240596580001-37;23.133.840,00;Perdedora
Doc. 00618/19;00001/2019;Pregao Presencial;201014;4.505.000,00;2019;241149940001-35;38.798.400,00;Perdedora
Doc. 00618/19;00001/2019;Pregao Presencial;201014;4.505.000,00;2019;241275720001-02;49.086.500,00;Perdedora
Doc. 00618/19;00001/2019;Pregao Presencial;201014;1.440.000,00;2019;244839440001-25;39.406.610,00;Vencedora
Doc. 00618/19;00001/2019;Pregao Presencial;201014;7.383.800,00;2019;295528270001-90;45.369.150,00;Perdedora
Doc. 00618/19;00001/2019;Pregao Presencial;201014;7.383.800,00;2019;305975770001-93;43.655.000,00;Vencedora
Doc. 00619/19;00001/2019;Pregao Presencial;201072;6.015.800,00;2019;57979870001-30;20.906.700,00;Vencedora
Doc. 00623/19;00002/2019;Pregao Presencial;201014;1.000.000,00;2019;50153560001-12;10.150.810,00;Vencedora
Doc. 00623/19;00002/2019;Pregao Presencial;201014;800.000,00;2019;54570260001-87;17.453.193,00;Vencedora
Doc. 00623/19;00002/2019;Pregao Presencial;201014;800.000,00;2019;222653710001-38;10.110.400,00;Vencedora
Doc. 00623/19;00002/2019;Pregao Presencial;201014;4.095.000,00;2019;225263940001-59;24.100.760,00;Vencedora
Doc. 00625/19;00003/2019;Pregao Presencial;601014;742.600,00;2019;16868140001-94;13.082.376,00;Perdedora
Doc. 00625/19;00003/2019;Pregao Presencial;601014;742.600,00;2019;49494940001-06;29.357.530,00;Perdedora
Doc. 00625/19;00003/2019;Pregao Presencial;601014;18.050.000,00;2019;50153560001-12;13.226.842,00;Vencedora
Doc. 00625/19;00003/2019;Pregao Presencial;601014;742.600,00;2019;73240700001-44;8.973.614,00;Vencedora
Doc. 00625/19;00003/2019;Pregao Presencial;601014;742.600,00;2019;164175770001-33;11.802.494,00;Vencedora
Doc. 00625/19;00003/2019;Pregao Presencial;601014;742.600,00;2019;244839440001-25;10.846.463,00;Perdedora
Doc. 00625/19;00003/2019;Pregao Presencial;601014;2.650.000,00;2019;268724260001-29;10.282.422,00;Perdedora
Doc. 00625/19;00003/2019;Pregao Presencial;601014;742.600,00;2019;293985970001-56;10.159.491,00;Vencedora
Doc. 00636/19;00006/2019;Pregao Presencial;201014;56.759.300,00;2019;108722090001-07;9.000.000,00;Perdedora
Doc. 00638/20;04001/2020;Pregao Eletronico;201095;14.232.000,00;2020;337570001-81;14.994.000,00;Vencedora
Doc. 00639/19;00007/2019;Pregao Presencial;201014;2.200.000,00;2019;188628060001-54;14.250.000,00;Perdedora
Doc. 00639/19;00007/2019;Pregao Presencial;201014;1.900.000,00;2019;252426640001-98;10.800.000,00;Perdedora
Doc. 00639/19;00007/2019;Pregao Presencial;201014;1.440.000,00;2019;322352600001-32;13.700.000,00;Vencedora
Doc. 00643/19;00008/2019;Pregao Presencial;601014;3.465.000,00;2019;53291350003-80;12.600.000,00;Vencedora
Doc. 00643/19;00008/2019;Pregao Presencial;601014;2.420.000,00;2019;167377590001-91;12.400.000,00;Perdedora
Doc. 00645/19;00009/2019;Pregao Presencial;201014;45.695.390,00;2019;78652420001-97;28.121.000,00;Vencedora
Doc. 00645/19;00009/2019;Pregao Presencial;201014;45.695.390,00;2019;132589730001-77;29.618.000,00;Vencedora
Doc. 00645/19;00009/2019;Pregao Presencial;201014;45.695.390,00;2019;134406460001-31;32.372.200,00;Vencedora
Doc. 00645/19;00009/2019;Pregao Presencial;201014;16.421.394,00;2019;354220210001-80;30.914.240,00;Vencedora
Doc. 00653/20;00003/2020;Pregao Presencial;201132;16.000.000,00;2020;186583860001-99;1.998.050,00;Vencedora
Doc. 00682/19;00005/2019;Pregao Presencial;201101;39.025.000,00;2019;75807420001-82;58.102.000,00;Vencedora
Doc. 00689/19;00001/2019;Pregao Presencial;201053;22.055.000,00;2019;250082190001-68;34.016.676,00;Perdedora
Doc. 00689/19;00001/2019;Pregao Presencial;201053;22.055.000,00;2019;299728070001-78;33.845.665,00;Vencedora
Doc. 00689/19;00001/2019;Pregao Presencial;201053;39.025.000,00;2019;302209890001-00;34.016.676,00;Perdedora
Doc. 00690/19;00002/2019;Pregao Presencial;201053;35.578.900,00;2019;46791190001-93;3.230.000,00;Vencedora
Doc. 00690/19;00002/2019;Pregao Presencial;201053;13.992.000,00;2019;49494940001-06;4.845.000,00;Perdedora
Doc. 00690/19;00002/2019;Pregao Presencial;201053;35.578.900,00;2019;114274070001-16;3.781.000,00;Perdedora
Doc. 00690/19;00002/2019;Pregao Presencial;201053;35.578.900,00;2019;175720030001-00;4.890.600,00;Perdedora
Doc. 00690/19;00002/2019;Pregao Presencial;201053;35.578.900,00;2019;189954570001-49;3.610.000,00;Perdedora
Doc. 00690/19;00002/2019;Pregao Presencial;201053;35.578.900,00;2019;199189050001-73;3.705.000,00;Perdedora
Doc. 00690/19;00002/2019;Pregao Presencial;201053;8.001.000,00;2019;210627770001-50;4.311.100,00;Perdedora
Doc. 00690/20;00001/2020;Pregao Presencial;201006;25.500.000,00;2020;49181610001-10;1.497.400,00;Vencedora
Doc. 00690/20;00001/2020;Pregao Presencial;201006;25.500.000,00;2020;268891810001-42;4.668.750,00;Vencedora
Doc. 00692/20;00002/2020;Pregao Presencial;201044;7.305.000,00;2020;310949990001-09;11.600.000,00;Vencedora
Doc. 00704/20;00001/2020;Pregao Presencial;201044;7.305.000,00;2020;36050560001-68;61.740.500,00;Vencedora
Doc. 00716/20;00002/2020;Pregao Presencial;201172;47.069.250,00;2020;46125550001-45;25.000.000,00;Vencedora
Doc. 00719/19;00004/2019;Pregao Presencial;201067;2.500.000,00;2019;78331130001-17;7.042.400,00;Perdedora
Doc. 00719/19;00004/2019;Pregao Presencial;201067;11.760.000,00;2019;88292770001-33;962.450,00;Vencedora
Doc. 00719/19;00004/2019;Pregao Presencial;201067;600.000,00;2019;103592790001-58;10.024.500,00;Perdedora
