,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,cast,keywords,director
10,13000000,"['Drama', 'Crime']",,240,tt0071562,en,The Godfather: Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",36.629307,1974-12-20,47542841.0,200.0,Released,"I don't feel I have to wipe everybody out, Tom. Just my enemies.",The Godfather: Part II,False,8.3,3418.0,"['Al Pacino', 'Robert Duvall', 'Diane Keaton']","['italo-american', 'cuba', 'vororte']",Francis Ford Coppola
11,3000000,['Drama'],,510,tt0073486,en,One Flew Over the Cuckoo's Nest,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.",35.529554,1975-11-18,108981275.0,133.0,Released,"If he's crazy, what does that make you?",One Flew Over the Cuckoo's Nest,False,8.3,3001.0,"['Jack Nicholson', 'Louise Fletcher', 'Danny DeVito']","['individual', 'rebel', 'self-destruction']",Miloš Forman
12,55000000,"['Comedy', 'Drama', 'Romance']",,13,tt0109830,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",48.307194,1994-07-06,677945399.0,142.0,Released,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Forrest Gump,False,8.2,8147.0,"['Tom Hanks', 'Robin Wright', 'Gary Sinise']","['vietnam veteran', 'hippie', 'mentally disabled']",Robert Zemeckis
13,18000000,"['Adventure', 'Action', 'Science Fiction']",http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,1891,tt0080684,en,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",19.470959,1980-05-17,538400000.0,124.0,Released,The Adventure Continues...,The Empire Strikes Back,False,8.2,5998.0,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']","['rebel', 'android', 'asteroid']",Irvin Kershner
14,806948,"['Drama', 'Horror', 'Thriller']",,539,tt0054215,en,Psycho,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fine… until Marion decides to take a shower.",36.826309,1960-06-16,32000000.0,109.0,Released,The master of suspense moves his cameras into the icy blackness of the unexplored!,Psycho,False,8.3,2405.0,"['Anthony Perkins', 'Vera Miles', 'John Gavin']","['hotel', 'clerk', 'arizona']",Alfred Hitchcock
15,13000000,"['Drama', 'Comedy']",,77338,tt1675434,fr,Intouchables,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,16.086919,2011-11-02,426480871.0,112.0,Released,Sometimes you have to reach into someone else's world to find out what's missing in your own.,The Intouchables,False,8.2,5410.0,"['François Cluzet', 'Omar Sy', 'Audrey Fleurot']","['male friendship', 'masseuse', 'friendship']",Eric Toledano
16,0,"['Romance', 'Animation', 'Drama']",https://www.funimationfilms.com/movie/yourname/,372058,tt5311514,ja,君の名は。,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",34.461252,2016-08-26,355298270.0,106.0,Released,,Your Name.,False,8.5,1030.0,"['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Masami Nagasawa']","['supernatural', 'romance', 'school']",Makoto Shinkai
17,16000000,"['Thriller', 'Crime', 'Drama']",,101,tt0110413,fr,Léon,"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",20.477329,1994-09-14,45284974.0,110.0,Released,"If you want a job done well, hire a professional.",Leon: The Professional,False,8.2,4293.0,"['Jean Reno', 'Natalie Portman', 'Gary Oldman']","['new york', 'corruption', 'assassin']",Luc Besson
18,60000000,"['Fantasy', 'Drama', 'Crime']",http://thegreenmile.warnerbros.com/,497,tt0120689,en,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",19.96678,1999-12-10,284600000.0,189.0,Released,Miracles do happen.,The Green Mile,False,8.2,4166.0,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse']","['southern usa', 'black people', 'mentally disabled']",Frank Darabont
19,25000000,"['Drama', 'Crime']",http://www.warnerbros.com/goodfellas,769,tt0099685,en,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",15.424092,1990-09-12,46836394.0,145.0,Released,Three Decades of Life in the Mafia.,GoodFellas,False,8.2,3211.0,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci']","['prison', 'based on novel', 'florida']",Martin Scorsese
20,20000000,['Drama'],http://www.historyx.com/,73,tt0120586,en,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",18.157166,1998-10-30,23875127.0,119.0,Released,Some Legacies Must End.,American History X,False,8.2,3120.0,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo""]","['usa', 'neo-nazi', 'prison']",Tony Kaye
21,160000000,"['Action', 'Thriller', 'Science Fiction']",http://inceptionmovie.warnerbros.com/,27205,tt1375666,en,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",29.108149,2010-07-14,825532764.0,148.0,Released,Your mind is the scene of the crime.,Inception,False,8.1,14075.0,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page']","['loss of lover', 'dream', 'kidnapping']",Christopher Nolan
22,165000000,"['Adventure', 'Drama', 'Science Fiction']",http://www.interstellarmovie.net/,157336,tt0816692,en,Interstellar,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,32.213481,2014-11-05,675120017.0,169.0,Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,False,8.1,11187.0,"['Matthew McConaughey', 'Jessica Chastain', 'Anne Hathaway']","['saving the world', 'artificial intelligence', 'father son relationship']",Christopher Nolan
23,94000000,"['Adventure', 'Fantasy', 'Action']",http://www.lordoftherings.net,122,tt0167260,en,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",29.324358,2003-12-01,1118888979.0,201.0,Released,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,False,8.1,8226.0,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']","['elves', 'orcs', 'middle-earth (tolkien)']",Peter Jackson
24,11000000,"['Adventure', 'Action', 'Science Fiction']",http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,tt0076759,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,1977-05-25,775398007.0,121.0,Released,"A long time ago in a galaxy far, far away...",Star Wars,False,8.1,6778.0,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']","['android', 'galaxy', 'hermit']",George Lucas
25,33000000,"['Crime', 'Mystery', 'Thriller']",http://www.sevenmovie.com/,807,tt0114369,en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,1995-09-22,327311859.0,127.0,Released,Seven deadly sins. Seven ways to die.,Se7en,False,8.1,5915.0,"['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow']","['self-fulfilling prophecy', 'detective', 's.w.a.t.']",David Fincher
26,350000,['Drama'],,389,tt0050083,en,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",16.503959,1957-03-25,1000000.0,96.0,Released,Life is in their hands. Death is on their minds.,12 Angry Men,False,8.2,2130.0,"['Henry Fonda', 'Martin Balsam', 'John Fiedler']","['judge', 'jurors', 'sultriness']",Sidney Lumet
27,19000000,"['Crime', 'Drama', 'Thriller']",,274,tt0102926,en,The Silence of the Lambs,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",4.307222,1991-02-01,272742922.0,119.0,Released,To enter the mind of a killer she must challenge the mind of a madman.,The Silence of the Lambs,False,8.1,4549.0,"['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn']","['based on novel', 'psychopath', 'horror']",Jonathan Demme
28,24000000,"['Fantasy', 'Animation', 'Adventure']",,4935,tt0347149,ja,ハウルの動く城,"When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking home.",16.136048,2004-11-19,234710455.0,119.0,Released,The two lived there,Howl's Moving Castle,False,8.2,2049.0,"['Takuya Kimura', 'Akihiro Miwa', 'Tatsuya Gashûin']","['flying', 'witch', 'rain']",Hayao Miyazaki
29,26500000,"['Adventure', 'Fantasy', 'Animation']",,128,tt0119698,ja,もののけ姫,"Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",17.166725,1997-07-12,159375308.0,134.0,Released,The Fate Of The World Rests On The Courage Of One Warrior.,Princess Mononoke,False,8.2,2041.0,"['Yōji Matsuda', 'Yuriko Ishida', 'Yūko Tanaka']","['fight', 'wolf', 'iron']",Hayao Miyazaki
30,9000000,"['Mystery', 'Thriller']",http://www.otnemem.com/,77,tt0209144,en,Memento,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",15.450789,2000-10-11,39723096.0,113.0,Released,Some memories are best forgotten.,Memento,False,8.1,4168.0,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']","['individual', 'insulin', 'tattoo']",Christopher Nolan
31,19000000,"['Horror', 'Thriller']",,694,tt0081505,en,The Shining,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",19.611589,1980-05-22,44017374.0,144.0,Released,A masterpiece of modern horror.,The Shining,False,8.1,3890.0,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd']","['hotel', 'isolation', 'hotelier']",Stanley Kubrick
32,1200000,"['Crime', 'Thriller']",,500,tt0105236,en,Reservoir Dogs,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",12.22034,1992-09-02,14661007.0,99.0,Released,Every dog has his day.,Reservoir Dogs,False,8.1,3821.0,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen']","['traitor', 'jewelry', 'psychopath']",Quentin Tarantino
33,3300000,"['Drama', 'Crime']",http://cidadededeus.globo.com/,598,tt0317248,pt,Cidade de Deus,"Cidade de Deus is a shantytown that started during the 1960s and became one of Rio de Janeiro’s most dangerous places in the beginning of the 1980s. To tell the story of this place, the movie describes the life of various characters, all seen by the point of view of the narrator, Buscapé. Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes: The eyes of an artist. By accident, he becomes a professional photographer, gaining his freedom.",14.95927,2002-02-05,30641770.0,130.0,Released,"If you run you're dead... if you stay, you're dead again. Period.",City of God,False,8.2,1852.0,"['Alexandre Rodrigues', 'Leandro Firmino', 'Phellipe Haagensen']","['male nudity', 'street gang', 'brazilian']",Fernando Meirelles
34,6000000,"['Drama', 'Crime', 'Thriller']",http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,629,tt0114814,en,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",16.302466,1995-07-19,23341568.0,106.0,Released,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,False,8.1,3334.0,"['Stephen Baldwin', 'Gabriel Byrne', 'Chazz Palminteri']","['law', 'relatives', 'theft']",Bryan Singer
35,6000000,"['Drama', 'Thriller']",http://www.roomthemovie.com,264644,tt3170832,en,Room,Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?,12.443291,2015-10-16,35401758.0,117.0,Released,Love knows no boundaries,Room,False,8.1,2838.0,"['Brie Larson', 'Jacob Tremblay', 'Joan Allen']","['based on novel', 'carpet', 'isolation']",Lenny Abrahamson
36,16400000,['Drama'],,207,tt0097165,en,Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",19.905716,1989-06-02,235860116.0,129.0,Released,He was their inspiration. He made their lives extraordinary.,Dead Poets Society,False,8.1,2786.0,"['Robin Williams', 'Ethan Hawke', 'Robert Sean Leonard']","['individual', 'philosophy', 'poetry']",Peter Weir
37,30000000,"['Drama', 'Crime']",,311,tt0087843,en,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",32.182851,1984-02-16,0.0,229.0,Released,"Crime, passion and lust for power - Sergio Leone's explosive saga of gangland America.",Once Upon a Time in America,False,8.3,1104.0,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern']","['life and death', 'corruption', 'street gang']",Sergio Leone
38,93000000,"['Adventure', 'Fantasy', 'Action']",http://www.lordoftherings.net/,120,tt0120737,en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",32.070725,2001-12-18,871368364.0,178.0,Released,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,False,8.0,8892.0,"['Elijah Wood', 'Ian McKellen', 'Cate Blanchett']","['elves', 'dwarves', 'orcs']",Peter Jackson
39,1300000,"['Crime', 'Drama']",,103,tt0075314,en,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",14.092713,1976-02-07,28262574.0,114.0,Released,"On every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver,False,8.1,2632.0,"['Robert De Niro', 'Cybill Shepherd', 'Harvey Keitel']","['vietnam veteran', 'taxi', 'obsession']",Martin Scorsese
40,1000000,"['Drama', 'Mystery', 'Thriller']",,567,tt0047396,en,Rear Window,"Professional photographer L.B. ""Jeff"" Jeffries breaks his leg while getting an action shot at an auto race. Confined to his New York apartment, he spends his time looking out of the rear window observing the neighbors. He begins to suspect that a man across the courtyard may have murdered his wife. Jeff enlists the help of his high society fashion-consultant girlfriend Lisa Freemont and his visiting nurse Stella to investigate.",17.911314,1954-08-01,36764313.0,112.0,Released,It only takes one witness to spoil the perfect crime.,Rear Window,False,8.2,1531.0,"['James Stewart', 'Grace Kelly', 'Wendell Corey']","['nurse', 'photographer', 'suspicion of murder']",Alfred Hitchcock
41,79000000,"['Adventure', 'Fantasy', 'Action']",http://www.lordoftherings.net/,121,tt0167261,en,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",29.423537,2002-12-18,926287400.0,179.0,Released,A New Power Is Rising.,The Lord of the Rings: The Two Towers,False,8.0,7641.0,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']","['elves', 'orcs', 'middle-earth (tolkien)']",Peter Jackson
42,1200000,['Western'],"http://www.mgm.com/#/our-titles/766/The-Good,-the-Bad-and-the-Ugly",429,tt0060196,it,"Il buono, il brutto, il cattivo","While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",16.788787,1966-12-23,6000000.0,161.0,Released,For three men the Civil War wasn't hell. It was practice.,"The Good, the Bad and the Ugly",False,8.1,2371.0,"['Eli Wallach', 'Clint Eastwood', 'Lee Van Cleef']","['bounty hunter', 'refugee', 'gold']",Sergio Leone
43,19000000,"['Adventure', 'Comedy', 'Science Fiction']",http://www.backtothefuture.com/movies/backtothefuture1,105,tt0088763,en,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",25.778509,1985-07-03,381109762.0,116.0,Released,He's the only kid ever to get into trouble before he was born.,Back to the Future,False,8.0,6239.0,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']","['clock tower', 'car race', 'terrorist']",Robert Zemeckis
44,14000000,"['History', 'Drama', 'Thriller']",http://theimitationgamemovie.com/,205596,tt2084970,en,The Imitation Game,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",31.59594,2014-11-14,233555708.0,113.0,Released,The true enigma was the man who cracked the code.,The Imitation Game,False,8.0,5895.0,"['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode']","['gay', 'england', 'world war ii']",Morten Tyldum
45,45000000,"['Family', 'Animation', 'Drama']",http://movies.disney.com/the-lion-king,8587,tt0110357,en,The Lion King,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,21.605761,1994-06-23,788241776.0,89.0,Released,Life's greatest adventure is finding your place in the Circle of Life.,The Lion King,False,8.0,5520.0,"['Jonathan Taylor Thomas', 'Matthew Broderick', 'James Earl Jones']","['loss of parents', 'wild boar', 'uncle']",Roger Allers
46,30000000,"['Comedy', 'Drama']",,120467,tt2278388,en,The Grand Budapest Hotel,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",14.442048,2014-02-26,174600318.0,99.0,Released,A perfect holiday without leaving home.,The Grand Budapest Hotel,False,8.0,4644.0,"['Ralph Fiennes', 'Tony Revolori', 'F. Murray Abraham']","['hotel', 'painting', 'wartime']",Wes Anderson
47,40000000,"['Drama', 'Mystery', 'Thriller']",http://wwws.warnerbros.de/theprestige/,1124,tt0482571,en,The Prestige,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",16.94556,2006-10-19,109676311.0,130.0,Released,Are You Watching Closely?,The Prestige,False,8.0,4510.0,"['Hugh Jackman', 'Christian Bale', 'Michael Caine']","['competition', 'secret', 'obsession']",Christopher Nolan
48,35000000,"['Drama', 'War']",http://www.thepianistmovie.com/,423,tt0253474,en,The Pianist,The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.,14.811594,2002-09-24,120072577.0,150.0,Released,Music was his passion. Survival was his masterpiece.,The Pianist,False,8.1,1927.0,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay']","['individual', 'resistance', 'radio station']",Roman Polanski
